Developer,State,Parking Lot,Ad List,Bus Stop,Firm Number,Park,Property Size,Nearby Mall,Tenure Type,Bedroom,REN Number,Facilities,Completion Year,price,Nearby School,Property Type
Kenwingston Group,Kuala Lumpur,1,98187451,"Bus Stop Starparc Point
Bus Stop Setapak Central
Bus Stop Setapak Sentral (Opp)
Bus Stop Columbia Hospital
Bus Stop PV12 Residence
Bus Stop PV15 Platinum
Bus Stop PV12 Condominium (Opp)
Bus Stop Sri Utama Schools (Opp)
Bus Stop CIMB Genting Klang
Bus Stop 1 Sri Utama Schools
Bus Stop Aeon Big Danau Kota
Bus Stop 2 Sri Utama Schools
Bus Stop Setapak Commercial
Bus Stop 1 Setapak Food Court
Bus Stop Setapak Industrial Area
Bus Stop 2 Setapak Food Court
Bus Stop 2 Medan Makmur Setapak
Bus Stop 1 Medan Makmur Setapak
Bus Stop Langkawi Apartment (Opp)
Bus Stop BHP Genting Klang
Bus Stop Jalan Kilang
Bus Stop PV128 Setapak",30338,"Park at Taman Tasik Danau Kota, Setapak, Kuala Lumpur, Malaysia
Park at Taman Danau Kota, Setapak, Kuala Lumpur, Malaysia
Park 1 at Setapak Garden, Setapak, Kuala Lumpur, Malaysia",1000,Setapak Central,Freehold,4,REN 66961,Multipurpose hall,2011,340000,Sekolah Menengah Pendidikan Khas Cacat Penglihatan,Service Residence
Ibraco Berhad,Melaka,1,101683090,KL Central,30812,Taman Negara,980,Sunway Pyramid,Freehold,3,REN 15862,"Lift, Club house, Tennis Court, Playground, Squash Court, Security",1999,250000,Sekolah Seni Malaysia,Apartment
TLS Group,Selangor,2,103792905,KL Central,77778,Selangor State Park,1000,One Utama,Freehold,3,REN 66961,"Security, Lift, Swimming Pool, Club house, Parking, Tennis Court, Minimart, Gymnasium, Jogging Track, Barbeque area",2001,230000,SMK Bukit Jambul,Apartment
Mudajaya Group,Selangor,1,103806240,KL Central,11584,Taman Negara,592,The Exchange TRX,Leasehold,3,REN 16279,"Lift, Minimart, Security, Club house, Swimming Pool, Sauna, Jogging Track, Squash Court, Gymnasium, Barbeque area, Playground, Tennis Court",2021,158000,MRSM Tun Ghafar Baba,Flat
i-Berhad,Selangor,2,103806234,"Bus Stop at Persiaran Permai 1
Bus Stop at Persiaran Permai 2
Bus Stop at Pusat Komersial Seksyen 7 (Timur)
Bus Stop at Persiaran Bestari 1
Bus Stop at Jalan Plumbum N7/N
Bus Stop at UITM Shah Alam (Barat)
Bus Stop at Jakel (Seksyen 7)
Bus Stop at Jalan Sungai Rasau 1
Bus Stop at Federal Highway 1
Bus Stop at Jalan Sungai Rasau 2
Bus Stop at Jakel 2 (Seksyen 7)
Bus Stop at Pusat Kesihatan",31916,"Park 2 at Section 7, Shah Alam
Park 1 at Section 7, Shah Alam",467,i-Soho i-City,Freehold,1,REN 66961,"Multipurpose hall, Swimming Pool, Squash Court, Parking, Jogging Track, Minimart, Tennis Court, Gymnasium, Lift, Sauna, Playground, Barbeque area, Security",2001,305000,Sekolah Jenis Kebangsaan (T) Ladang Midlands,Studio
X-Scan Penang Sdn Bhd,Penang,2,103739787,Terminal Sentral Kuantan Bus terminal,11307,Selangor State Park,1100,Berjaya Times Square,Freehold,3,REN 61472,"Club house, Tennis Court, Security, Lift, Minimart, Jogging Track",2023,425000,MRSM Tun Ghafar Baba,Condominium
IOI Properties Group Berhad,Selangor,2,103690767,KL Central,31484,Penang National Park,780,One Utama,Freehold,3,REN 66961,"Playground, Club house, Barbeque area, Parking",2015,230000,MRSM Tun Ghafar Baba,Condominium
Talam Transform Berhad,Selangor,1,103615852,"Bus Stop at Jalan Puchong 5
Bus Stop at Jalan Puchong 4
Bus Stop at Jalan Taman Kinrara
Bus Stop at Jalan Puchong 7
Bus Stop at Jalan Kinrara 4 1
Bus Stop at Jalan Kinrara 4 2
Bus Stop at Jalan TK 1/11A",31484,"Park at Taman Kinrara Seksyen 7, Subang Jaya
Park at Taman Kinrara Seksyen 4, Subang Jaya
Park at Taman Kinrara, Subang Jaya
Park at Taman Kinrara Seksyen 3, Bukit Tandang
Park at Taman Bukit Kuchai, Bukit Tandang
Park at Kinrara Ria Apartments, Subang Jaya
Park at Flat Taman Kinrara, Subang Jaya
Park at Bandar Kinrara 3 Park, Bandar Kinrara
Park at Pangsapuri Mawar, Bukit Tandang
Park at Taman Kinrara Seksyen 2, Subang Jaya
Park 1 at Bandar Kinrara, Subang Jaya",852,Sunway Pyramid,Leasehold,3,REN 66961,"Parking, Sauna, Minimart, Security, Tennis Court, Jogging Track, Multipurpose hall, Club house, Playground, Lift, Swimming Pool, Barbeque area, Gymnasium",2013,200000,SMK Bukit Jambul,Apartment
Ikram Ikhlas,Selangor,2,103615849,"Bus Stop at Taman Sri Muda Seksyen 25 (Utara)
Bus Stop at Persiaran Budiman 1
Bus Stop at Jalan Watan 25/6",31484,"Park 2 at Section 23, Taman Sri Muda
Park 1 at Section 23, Taman Sri Muda",918,Plaza Sri Muda,Leasehold,3,REN 66961,"Jogging Track, Club house, Parking, Sauna, Lift, Tennis Court",2006,275000,Sekolah Kebangsaan Taman Sri Muda,Apartment
Syarikat Perumahan Negara Berhad,Selangor,1,102460346,"Bus Stop at Persiaran Jubli Perak 5
Bus Stop at Seksyen 15 (Timur)
Bus Stop at Batu Tiga Federal Highway
Bus Stop at Persiaran Teknologi 1
Bus Stop at Federal Highway 4
Bus Stop at Persiaran Teknologi 2",31484,"Park at Section 21, Shah Alam
Park at Taman Mutiara Subang, Batu Tiga",850,One Utama,Freehold,3,REN 66961,"Gymnasium, Playground",2009,300000,SM imtiaz Kemaman,Apartment
